ANATOMY,"Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",nan,nan,nan,nan,nan,nan,nan
Zotu138,1,2,3,0,0,5,22,102,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,noviherbaspirillum,noviherbaspirillum autotrophicum
Zotu139,4,3,1,0,1,1,2,6,bacteria,pseudomonadota,alphaproteobacteria,rhodobacterales,roseobacteraceae,rubellimicrobium,rubellimicrobium roseum
Zotu140,29,55,45,146,7,325,19,7,bacteria,actinomycetota,thermoleophilia,solirubrobacterales,conexibacteraceae,conexibacter,conexibacter stalactiti
Zotu141,4,8,1,4,36,74,43,17,bacteria,gemmatimonadota,longimicrobiia,longimicrobiales,longimicrobiaceae,longimicrobium,longimicrobium terrae
Zotu142,0,1,1,1,0,0,0,6,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,flavisolibacter,flavisolibacter galbus
Zotu143,0,0,0,0,0,0,0,0,bacteria,actinomycetota,thermoleophilia,solirubrobacterales,solirubrobacteraceae,solirubrobacter,solirubrobacter phytolaccae
Zotu144,6,4,2,2,3,19,4,2,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,nitrobacteraceae,afipia,afipia broomeae
Zotu145,5,4,4,9,4,8,3,11,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides mesophilus
Zotu146,1,0,1,0,1,2,1,0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,noviherbaspirillum,noviherbaspirillum agri
Zotu147,1,1,54,3,0,1,2,1,bacteria,bacteroidota,cytophagia,cytophagales,hymenobacteraceae,adhaeribacter,adhaeribacter aquaticus
Zotu148,0,0,0,1,1,0,3,0,bacteria,actinomycetota,nitriliruptoria,euzebyales,euzebyaceae,euzebya,euzebya pacifica
Zotu149,1,3,3,7,2,32,14,14,bacteria,actinomycetota,thermoleophilia,solirubrobacterales,baekduiaceae,baekduia,baekduia soli
Zotu150,35,22,143,364,126,84,113,8,bacteria,chloroflexota,thermomicrobia,sphaerobacterales,sphaerobacteraceae,sphaerobacter,sphaerobacter thermophilus
Zotu151,2,0,1,1,3,3,1,6,bacteria,pseudomonadota,alphaproteobacteria,sphingomonadales,sphingomonadaceae,novosphingobium,novosphingobium stygium
Zotu152,11,10,41,48,3,0,11,2,bacteria,bacillota,clostridia,eubacteriales,symbiobacteriaceae,symbiobacterium,symbiobacterium terraclitae
Zotu153,161,91,132,68,51,110,9,19,bacteria,acidobacteriota,blastocatellia,blastocatellales,pyrinomonadaceae,pyrinomonas,pyrinomonas methylaliphatogenes
Zotu154,11,19,12,38,47,124,28,2,bacteria,bacillota,clostridia,thermoanaerobacterales,thermoanaerobacteraceae,carboxydothermus,carboxydothermus hydrogenoformans
Zotu155,0,0,0,0,0,0,0,0,bacteria,actinomycetota,rubrobacteria,rubrobacterales,rubrobacteraceae,rubrobacter,rubrobacter taiwanensis
Zotu156,2,0,2,6,3,3,13,68,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,oxalicibacterium,oxalicibacterium horti
Zotu157,3,3,2,3,3,4,37,141,bacteria,pseudomonadota,alphaproteobacteria,rhodobacterales,roseobacteraceae,rubellimicrobium,rubellimicrobium thermophilum
Zotu158,7,5,10,4,9,4,5,29,bacteria,bacillota,bacilli,bacillales,planococcaceae,planomicrobium,planomicrobium okeanokoites
Zotu159,2,5,2,6,1,3,45,343,bacteria,bacteroidota,cytophagia,cytophagales,hymenobacteraceae,adhaeribacter,adhaeribacter terreus
Zotu160,1,3,2,0,1,41,24,50,archaea,nitrososphaerota,nitrososphaeria,nitrososphaerales,nitrososphaeraceae,candidatus nitrososphaera,candidatus nitrososphaera
Zotu161,1,1,3,1,14,4,9,5,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,noviherbaspirillum,noviherbaspirillum autotrophicum
Zotu162,4,2,0,0,4,5,3,33,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides aquiterrae
Zotu163,0,6,4,7,0,1,10,6,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,methylobacteriaceae,microvirga,microvirga brassicacearum
Zotu164,4,5,2,1,3,2,4,1,bacteria,pseudomonadota,alphaproteobacteria,rhodobacterales,roseobacteraceae,rubellimicrobium,rubellimicrobium rubrum
Zotu165,127,180,173,229,235,206,81,33,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,iamiaceae,actinomarinicola,actinomarinicola tropica
Zotu166,3,6,0,2,1,2,104,123,bacteria,deinococcota,deinococci,deinococcales,deinococcaceae,deinococcus,deinococcus peraridilitoris
Zotu167,5,2,4,4,24,50,124,55,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,iamiaceae,iamia,iamia majanohamensis
Zotu168,4,2,2,1,2,2,21,122,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,methylobacteriaceae,microvirga,microvirga guangxiensis
Zotu169,1,0,2,0,2,1,29,170,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,flavisolibacter,flavisolibacter carri
Zotu170,13,3,3,4,2,1,4,2,bacteria,bacillota,bacilli,bacillales,bacillaceae,bacillus,bacillus funiculus
Zotu171,5,100,141,2,4,3,4,3,bacteria,planctomycetota,planctomycetia,gemmatales,gemmataceae,urbifossiella,urbifossiella limnaea
Zotu172,0,6,2,3,0,54,5,2,bacteria,chloroflexota,chloroflexia,herpetosiphonales,herpetosiphonaceae,herpetosiphon,herpetosiphon geysericola
