"","freq","prev","p.freq","p.prev","p","contaminant"
"Zotu4209",2.92786771172585e-05,10,NA,0.57936507936508,0.57936507936508,FALSE
"Zotu2588",6.46940775845352e-05,28,NA,0.722222222222222,0.722222222222222,FALSE
"Zotu5314",1.29342812797133e-05,5,NA,0.53968253968254,0.53968253968254,FALSE
"Zotu5492",3.59716774930787e-05,12,NA,0.595238095238095,0.595238095238095,FALSE
"Zotu2936",6.95691738823957e-05,21,NA,0.666666666666667,0.666666666666667,FALSE
"Zotu5729",2.42710027154409e-05,6,NA,0.547619047619048,0.547619047619048,FALSE
"Zotu6207",1.30176972139117e-05,5,NA,0.53968253968254,0.53968253968254,FALSE
"Zotu2211",8.3921897562786e-05,16,NA,0.626984126984127,0.626984126984127,FALSE
"Zotu6038",2.44649526387773e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu3037",3.64703517780243e-05,15,NA,0.619047619047619,0.619047619047619,FALSE
"Zotu4727",3.63471744692516e-05,10,NA,0.57936507936508,0.57936507936508,FALSE
"Zotu5770",1.97796731341464e-05,9,NA,0.571428571428571,0.571428571428571,FALSE
"Zotu6309",1.11789496062582e-05,7,NA,0.555555555555556,0.555555555555556,FALSE
"Zotu4236",1.32583206291267e-05,11,NA,0.587301587301587,0.587301587301587,FALSE
"Zotu2522",7.37478179048471e-05,11,NA,0.587301587301587,0.587301587301587,FALSE
"Zotu4606",0.000142287864222953,16,NA,0.626984126984127,0.626984126984127,FALSE
"Zotu3708",3.16679680442668e-05,8,NA,0.563492063492063,0.563492063492063,FALSE
"Zotu1690",7.2060512978239e-05,17,NA,0.634920634920635,0.634920634920635,FALSE
"Zotu1867",8.26198381969778e-05,21,NA,0.666666666666667,0.666666666666667,FALSE
"Zotu6283",4.25852354967005e-05,15,NA,0.119047619047619,0.119047619047619,FALSE
"Zotu5015",2.81229525097213e-05,11,NA,0.587301587301587,0.587301587301587,FALSE
"Zotu3577",2.98637455321246e-05,18,NA,0.642857142857143,0.642857142857143,FALSE
"Zotu4461",2.36954004571931e-05,5,NA,0.53968253968254,0.53968253968254,FALSE
"Zotu5656",1.91199286746054e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu3857",3.91108562662498e-05,7,NA,0.555555555555556,0.555555555555556,FALSE
"Zotu959",0.000148528662264562,32,NA,0.253968253968254,0.253968253968254,FALSE
"Zotu2981",3.67325990457842e-05,6,NA,0.547619047619048,0.547619047619048,FALSE
"Zotu4158",2.07825783021776e-05,8,NA,0.563492063492063,0.563492063492063,FALSE
"Zotu6118",2.67708962408166e-05,9,NA,0.571428571428571,0.571428571428571,FALSE
"Zotu5299",2.33077404441818e-05,13,NA,0.603174603174603,0.603174603174603,FALSE
"Zotu5619",2.4908059774505e-05,9,NA,0.571428571428571,0.571428571428571,FALSE
"Zotu2599",6.23686964046361e-05,14,NA,0.611111111111111,0.611111111111111,FALSE
"Zotu3136",4.48367277826468e-05,11,NA,0.587301587301587,0.587301587301587,FALSE
"Zotu1827",7.42698819835866e-05,15,NA,0.619047619047619,0.619047619047619,FALSE
"Zotu1338",0.000107684494230303,24,NA,0.69047619047619,0.69047619047619,FALSE
"Zotu5201",2.19991356140299e-05,9,NA,0.571428571428571,0.571428571428571,FALSE
"Zotu5105",3.06204725758632e-05,10,NA,0.57936507936508,0.57936507936508,FALSE
"Zotu4548",1.9931673154135e-05,9,NA,0.571428571428571,0.571428571428571,FALSE
"Zotu4292",2.93645328474938e-05,5,NA,0.53968253968254,0.53968253968254,FALSE
"Zotu6280",2.31958817785907e-05,10,NA,0.57936507936508,0.57936507936508,FALSE
"Zotu4274",3.06854506215214e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu3840",4.01986250355723e-05,15,NA,0.619047619047619,0.619047619047619,FALSE
"Zotu3639",1.96029708389314e-05,10,NA,0.57936507936508,0.57936507936508,FALSE
"Zotu1615",9.42444173147586e-05,18,NA,0.642857142857143,0.642857142857143,FALSE
"Zotu3562",3.47759016329891e-05,15,NA,0.619047619047619,0.619047619047619,FALSE
"Zotu6115",2.25120364876643e-05,10,NA,0.57936507936508,0.57936507936508,FALSE
"Zotu2496",6.5078632917172e-05,26,NA,0.206349206349206,0.206349206349206,FALSE
"Zotu4455",2.0467192291968e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu3041",2.07631198156139e-05,6,NA,0.547619047619048,0.547619047619048,FALSE
"Zotu4610",2.04794242350905e-05,16,NA,0.626984126984127,0.626984126984127,FALSE
"Zotu4777",1.90690823482577e-05,3,NA,0.523809523809524,0.523809523809524,FALSE
"Zotu5750",1.2183127152332e-05,6,NA,0.0476190476190477,0.0476190476190477,TRUE
"Zotu728",0.000206941916728955,41,NA,0.325396825396825,0.325396825396825,FALSE
"Zotu4444",8.66938494844754e-05,12,NA,0.595238095238095,0.595238095238095,FALSE
"Zotu5821",3.29553277739491e-05,12,NA,0.595238095238095,0.595238095238095,FALSE
"Zotu1195",0.00011518806881264,26,NA,0.706349206349206,0.706349206349206,FALSE
"Zotu3907",2.89516165455215e-05,9,NA,0.571428571428571,0.571428571428571,FALSE
"Zotu3457",4.69934847495506e-05,17,NA,0.634920634920635,0.634920634920635,FALSE
"Zotu1263",0.000125180501460393,26,NA,0.706349206349206,0.706349206349206,FALSE
"Zotu4221",2.3750766423288e-05,12,NA,0.595238095238095,0.595238095238095,FALSE
"Zotu3986",2.81606534148024e-05,10,NA,0.57936507936508,0.57936507936508,FALSE
"Zotu4166",1.94173130151105e-05,9,NA,0.571428571428571,0.571428571428571,FALSE
"Zotu6341",8.87062043879658e-06,4,NA,0.531746031746032,0.531746031746032,FALSE
"Zotu4360",3.77330140504774e-05,16,NA,0.626984126984127,0.626984126984127,FALSE
"Zotu6046",1.62176189731513e-05,7,NA,0.555555555555556,0.555555555555556,FALSE
"Zotu6383",2.18274421504272e-05,7,NA,0.555555555555556,0.555555555555556,FALSE
"Zotu5514",1.45305455187064e-05,6,NA,0.547619047619048,0.547619047619048,FALSE
"Zotu5536",4.46733057485631e-05,12,NA,0.595238095238095,0.595238095238095,FALSE
"Zotu4407",4.42589757035364e-05,17,NA,0.634920634920635,0.634920634920635,FALSE
"Zotu6318",3.79423966070901e-05,13,NA,0.603174603174603,0.603174603174603,FALSE
"Zotu3412",3.19300735133555e-05,10,NA,0.57936507936508,0.57936507936508,FALSE
"Zotu1759",7.96929305660718e-05,24,NA,0.69047619047619,0.69047619047619,FALSE
"Zotu6016",3.44191475710582e-05,13,NA,0.603174603174603,0.603174603174603,FALSE
"Zotu4055",3.87442654534009e-05,18,NA,0.642857142857143,0.642857142857143,FALSE
"Zotu5351",1.84497299016117e-05,5,NA,0.53968253968254,0.53968253968254,FALSE
"Zotu5445",2.12955187460768e-05,7,NA,0.555555555555556,0.555555555555556,FALSE
"Zotu3232",4.67855777363667e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu4920",2.6994907441122e-05,10,NA,0.57936507936508,0.57936507936508,FALSE
"Zotu5854",4.29837246292588e-05,16,NA,0.626984126984127,0.626984126984127,FALSE
"Zotu1515",9.7563149250511e-05,20,NA,0.658730158730159,0.658730158730159,FALSE
"Zotu1458",0.000102589595696486,25,NA,0.198412698412698,0.198412698412698,FALSE
"Zotu6006",2.50809569930879e-05,8,NA,0.563492063492063,0.563492063492063,FALSE
"Zotu1990",6.44025352607363e-05,21,NA,0.666666666666667,0.666666666666667,FALSE
"Zotu6244",4.70398970925148e-05,16,NA,0.626984126984127,0.626984126984127,FALSE
"Zotu1340",9.64940197234306e-05,17,NA,0.634920634920635,0.634920634920635,FALSE
"Zotu5239",2.80857980103577e-05,13,NA,0.603174603174603,0.603174603174603,FALSE
"Zotu5378",9.55308896526873e-06,6,NA,0.547619047619048,0.547619047619048,FALSE
"Zotu2626",6.8926768084111e-05,14,NA,0.611111111111111,0.611111111111111,FALSE
"Zotu2179",4.59295261092175e-05,11,NA,0.587301587301587,0.587301587301587,FALSE
"Zotu1261",9.43087519707576e-05,23,NA,0.682539682539683,0.682539682539683,FALSE
"Zotu5692",3.95061732474763e-05,16,NA,0.626984126984127,0.626984126984127,FALSE
"Zotu5096",2.59092796387244e-05,13,NA,0.603174603174603,0.603174603174603,FALSE
"Zotu2145",5.56538603933311e-05,13,NA,0.603174603174603,0.603174603174603,FALSE
"Zotu5660",2.93073650107e-05,11,NA,0.587301587301587,0.587301587301587,FALSE
"Zotu5992",1.87126051331051e-05,5,NA,0.53968253968254,0.53968253968254,FALSE
"Zotu3781",3.02011374744623e-05,16,NA,0.626984126984127,0.626984126984127,FALSE
"Zotu4090",2.86979073498855e-05,11,NA,0.587301587301587,0.587301587301587,FALSE
"Zotu4047",2.82881399750093e-05,9,NA,0.571428571428571,0.571428571428571,FALSE
"Zotu4665",3.67189363447208e-05,28,NA,0.722222222222222,0.722222222222222,FALSE
"Zotu5077",2.41397567611335e-05,7,NA,0.555555555555556,0.555555555555556,FALSE
"Zotu5669",1.16487257403111e-05,4,NA,0.531746031746032,0.531746031746032,FALSE
"Zotu5929",1.52008629836976e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu5152",3.03156320517262e-05,9,NA,0.571428571428571,0.571428571428571,FALSE
"Zotu4318",2.45213271940871e-05,11,NA,0.587301587301587,0.587301587301587,FALSE
