ANATOMY,"Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",nan,nan,nan,nan,nan,nan,nan
Zotu,IX.10CM.A,IX.20CM.B,IX.30CM.A,IX.40CM.A,IX.50CM.A,IX.60CM.A,IX.70CM.A,IX.80CM.A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu70,0.016703,0.00648,0.012692,0.0,0.009736,0.012694,0.006279,0.037683,bacteria,actinomycetota,actinomycetes,micrococcales,microbacteriaceae,microbacterium,microbacterium proteolyticum
Zotu71,0.0,0.0,0.009519,0.009223,0.003245,0.114242,0.238604,0.587219,bacteria,pseudomonadota,betaproteobacteria,rhodocyclales,zoogloeaceae,pseudothauera,pseudothauera nasutitermitis
Zotu72,0.036746,0.032398,0.050766,0.03689,0.022718,0.52361,0.078488,0.053384,bacteria,actinomycetota,thermoleophilia,solirubrobacterales,conexibacteraceae,conexibacter,conexibacter stalactiti
Zotu73,0.016703,0.012959,0.012692,0.009223,0.012982,0.012694,0.040814,0.854137,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,massilia,massilia atriviolacea
Zotu74,0.033406,0.025918,0.028556,0.009223,0.10061,0.038081,0.040814,0.084786,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,blastococcus,blastococcus colisei
Zotu75,0.010022,0.019439,0.02221,0.012297,0.019473,0.028561,0.12872,0.458471,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,massilia,massilia consociata
Zotu76,0.036746,0.032398,0.028556,0.018445,0.038946,0.038081,0.034535,0.037683,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,acidiferrimicrobium,acidiferrimicrobium australe
Zotu77,0.013362,0.0,0.003173,0.015371,0.009736,0.012694,0.028256,0.219815,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,modestobacter,modestobacter marinus
Zotu78,0.003341,0.00324,0.009519,0.015371,0.006491,0.015867,0.018837,0.30146,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,methylobacteriaceae,microvirga,microvirga vignae
Zotu79,0.023384,0.025918,0.012692,0.012297,0.016227,0.006347,0.018837,0.031402,bacteria,acidobacteriota,blastocatellia,blastocatellales,pyrinomonadaceae,pyrinomonas,pyrinomonas methylaliphatogenes
