ANATOMY,Interdune,Stoss,Lee,Interdune,Interdune,Interdune,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,Lee,Interdune,Stoss,Stoss,Lee,Lee,Lee,Stoss,Stoss,Lee,Stoss,Lee,"Stoss, Star","Stoss, Star","Lee, Star","Stoss, Star","Stoss, Star",Stoss,Lee,Stoss,Stoss,Lee,Lee,Lee,Lee,Interdune,Interdune,Stoss,Stoss,Stoss,Lee,Lee,Interdune,Lee,"Stoss, Crest",Lee,nan,nan,nan,nan,nan,nan,nan
Zotu,MF.4B,MF.5B,MF.6B,MF.7B,MF.8B,MF.11A,MF.12A,MF.13A,MF.14B,MF.15A,MF.16A,MF.17A,MF.18B,MF.19A,MF.20A,MF.27B,MF.30A,MF.33A,ED.01A,ED.02B,ED.03A,ED.04A,ED.05A,ED.06A,ED.08A,ED.09A,ED.10A,ED.11A,ED.12A,ED.13A,ED.14B,ED.15B,ED.16A,ED.17B,ED.18A,ED.19A,ED.20A,ED.21A,ED.22A,ED.23A,ED.24A,ED.33A,IX.1B,IX.2A,IX.3A,IX.4B,IX.5A,IX.6A,IX.7A,IX.8A,IX.9A,IX.10A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu41,21,30,81,17,20,16,9,27,84,20,114,107,1,16,67,13,212,22,37,397,8,97,7,25,84,464,73,175,178,165,89,48,30,103,140,207,66,197,11,87,178,11,7,16,53,11,102,9,204,84,106,126,bacteria,actinomycetota,thermoleophilia,solirubrobacterales,baekduiaceae,baekduia,baekduia soli
Zotu42,27,47,73,15,31,27,26,189,390,20,412,89,11,887,68,16,337,172,10,20,21,13,17,16,168,61,94,49,16,8,6,41,6,100,37,6,26,54,2,121,5,9,5,359,233,171,255,65,31,8,4,6,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,acidiferrimicrobium,acidiferrimicrobium australe
Zotu43,199,11,41,41,21,27,36,62,28,17,19,18,17,26,20,3696,17,15,47,26,13,14,16,28,16,23,14,24,20,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,1,bacteria,pseudomonadota,alphaproteobacteria,sphingomonadales,sphingosinicellaceae,sphingosinicella,sphingosinicella humi
Zotu44,654,29,36,110,25,98,2031,16,47,594,48,24,11,43,66,44,45,19,26,26,24,13,20,22,23,15,16,28,11,1,1,3,2,2,51,63,1,0,1,3,1,5,0,7,1,1,3,1,2,49,124,56,bacteria,pseudomonadota,alphaproteobacteria,sphingomonadales,erythrobacteraceae,croceibacterium,croceibacterium soli
Zotu45,3,113,128,34,21,8,42,109,58,104,56,235,9,99,189,22,12,11,137,9,15,8,11,6,9,129,198,329,8,7,7,126,8,406,8,17,15,7,10,10,7,5,228,6,6,6,157,3,7,268,312,176,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,methylobacteriaceae,microvirga,microvirga aerilata
Zotu46,115,495,313,57,45,12,17,183,114,9,84,166,20,137,125,15,150,12,79,14,35,7,16,45,8,158,52,224,15,163,104,88,18,8,137,155,104,154,15,288,19,14,10,50,95,37,10,19,101,52,129,142,bacteria,bacillota,bacilli,bacillales,bacillaceae,priestia,priestia koreensis
Zotu47,13,41,117,11,13,9,4,5,80,5,68,94,4,61,48,10,184,4,9,6,590,110,7,3,69,5,29,20,34,81,137,225,399,18,233,206,107,363,108,401,208,7,11,58,226,171,250,19,88,97,137,160,bacteria,actinomycetota,actinomycetes,micromonosporales,micromonosporaceae,actinoplanes,actinoplanes rhizophilus
Zotu48,15,126,94,58,8,14,137,61,169,45,238,83,15,229,81,239,10,16,95,11,17,10,9,175,162,16,43,188,205,14,7,172,135,7,131,97,12,63,9,290,519,61,68,161,11,62,174,25,143,125,45,37,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,comamonadaceae,caenimonas,caenimonas soli
Zotu49,2,13,7,23,1,6,10,8,4,12,6,8,9,5,7,3,9,8,90,10,7,12,6,7,320,458,396,268,8,148,611,220,20,9,501,239,125,164,11,214,16,9,12,11,9,7,10,13,11,27,9,33,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,flavisolibacter,flavisolibacter metallilatus
Zotu50,12,266,91,15,9,6,49,745,77,156,6,50,18,145,43,16,10,10,184,11,11,11,280,15,16,58,65,233,16,5,5,55,67,6,87,198,55,109,8,123,4,7,5,4,5,8,157,11,3,74,35,5,bacteria,deinococcota,deinococci,deinococcales,deinococcaceae,deinococcus,deinococcus deserti
Zotu51,3,3,9,9,7,24,5,17,8,3,68,34,1319,3,11,6,3,2,4,4,6,3,137,2,254,88,26,3,105,107,3,1,4,512,0,1,5,3,513,5,3,1,82,161,134,14,1,2,58,2,2,37,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,kaistiaceae,kaistia,kaistia granuli
Zotu52,584,75,40,68,46,154,55,100,56,882,93,33,8,115,19,43,164,347,31,14,25,7,13,13,111,14,17,19,15,5,7,6,10,8,6,5,8,20,4,8,5,383,6,50,246,132,397,5,147,13,30,23,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides pakistanensis
Zotu53,16,16,44,5,16,8,10,30,49,6,6,35,4,25,91,11,344,9,56,7,271,1,7,7,122,215,201,146,298,525,19,189,97,155,159,206,57,89,11,124,8,10,13,9,66,11,101,14,105,63,172,168,bacteria,actinomycetota,actinomycetes,kitasatosporales,streptomycetaceae,streptomyces,streptomyces roseolilacinus
Zotu54,3,8,17,4,11,3,2,47,4,6,4,38,2,3,7,2,4,5,21,255,2,699,4,32,71,2,0,4,106,261,211,80,389,639,5,7,7,2,4,47,6,2,224,5,7,107,4,169,182,11,66,57,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,phyllobacteriaceae,phyllobacterium,phyllobacterium myrsinacearum
Zotu55,8,28,32,7,6,28,12,48,15,19,50,89,10,73,5,6,110,348,4,5,12,378,314,41,262,29,7,6,122,79,657,5,2,3,1,42,8,42,369,71,100,4,1,5,3,6,46,239,1,7,4,22,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,boseaceae,bosea,bosea massiliensis
Zotu56,20,150,179,96,164,53,16,100,155,29,284,304,14,181,285,17,154,23,23,19,17,16,15,18,12,11,27,20,16,3,0,8,2,3,3,3,2,4,2,4,5,0,291,7,3,2,3,7,6,42,66,53,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,methylobacteriaceae,microvirga,microvirga roseola
Zotu57,9,28,36,12,19,12,3,18,14,2,8,11,6,12,9,9,14,6,67,2,167,196,7,20,41,141,281,248,197,63,184,113,329,16,64,36,40,32,7,85,536,16,17,97,61,17,22,13,33,15,23,15,bacteria,actinomycetota,actinomycetes,nakamurellales,nakamurellaceae,nakamurella,nakamurella antarctica
Zotu58,250,111,75,36,15,49,33,153,42,34,52,111,8,73,78,133,11,20,100,12,306,5,24,60,246,105,120,394,8,219,13,84,47,9,175,141,76,258,14,419,10,33,176,10,13,17,21,13,59,136,69,203,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,herbaspirillum,herbaspirillum rhizosphaerae
Zotu59,14,82,53,87,10,11,293,307,46,303,12,134,6,49,43,11,70,22,20,144,354,10,294,25,14,14,117,46,140,11,303,6,5,5,104,86,2,119,3,51,8,16,22,85,175,6,73,8,93,16,8,52,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,comamonadaceae,ramlibacter,ramlibacter algicola
Zotu60,1,3,68,4,2,3,6,4,59,1,284,4,0,3,147,0,643,3,0,3,3,2,1,2,4,2,2,6,1,1,2,5,2,2,4,3,1,3,4,1,1,3,0,1,2,4,0,1,3,32,1,3,archaea,methanobacteriota,thermoplasmata,methanomassiliicoccales,candidatus methanomethylophilaceae,candidatus methanomethylophilus,candidatus methanomethylophilus alvus
Zotu61,4,21,10,5,11,12,6,21,21,10,17,9,7,6,9,11,4,6,6,4,4,6,3420,13,8,12,19,4,80,1,182,0,0,0,0,1,4,3,4,122,5,2,0,0,0,1,0,0,1,1,2,0,bacteria,bacillota,clostridia,eubacteriales,symbiobacteriaceae,symbiobacterium,symbiobacterium terraclitae
