"","freq","prev","p.freq","p.prev","p","contaminant"
"Zotu2298",5.20995296471389e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu2880",3.60614793510146e-05,4,NA,0.0317460317460317,0.0317460317460317,TRUE
"Zotu2386",4.35000579085003e-05,7,NA,0.0555555555555555,0.0555555555555555,TRUE
"Zotu4064",2.74368373078836e-05,12,NA,0.0952380952380952,0.0952380952380952,TRUE
"Zotu3776",3.05445355973853e-05,5,NA,0.0396825396825397,0.0396825396825397,TRUE
"Zotu3143",3.24795785893012e-05,6,NA,0.0476190476190477,0.0476190476190477,TRUE
"Zotu4154",2.68895150463119e-05,4,NA,0.0317460317460317,0.0317460317460317,TRUE
"Zotu6019",1.69092626706314e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu3075",3.7623650658835e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu3390",3.49827049278008e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu5985",1.36434243640251e-05,5,NA,0.0396825396825397,0.0396825396825397,TRUE
"Zotu4366",2.28554117639385e-05,6,NA,0.0476190476190477,0.0476190476190477,TRUE
"Zotu1939",5.1051229634782e-05,12,NA,0.0952380952380952,0.0952380952380952,TRUE
"Zotu2959",4.18582634516061e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu6159",1.1519976399722e-05,3,NA,0.0238095238095238,0.0238095238095238,TRUE
"Zotu3313",2.16925855609609e-05,5,NA,0.0396825396825397,0.0396825396825397,TRUE
"Zotu2688",3.19768041274207e-05,6,NA,0.0476190476190477,0.0476190476190477,TRUE
"Zotu6078",1.23189413405298e-05,7,NA,0.0555555555555555,0.0555555555555555,TRUE
"Zotu4905",1.18134647198642e-05,6,NA,0.0476190476190477,0.0476190476190477,TRUE
"Zotu3008",3.89324979945678e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu2363",5.41292291341623e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu3754",2.21885495105512e-05,6,NA,0.0476190476190477,0.0476190476190477,TRUE
"Zotu2403",4.27352966271548e-05,6,NA,0.0476190476190477,0.0476190476190477,TRUE
"Zotu2968",3.99590162251616e-05,3,NA,0.0238095238095238,0.0238095238095238,TRUE
"Zotu4813",1.52906666722416e-05,6,NA,0.0476190476190477,0.0476190476190477,TRUE
"Zotu1479",8.34372063689298e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu3888",2.88732449820402e-05,4,NA,0.0317460317460317,0.0317460317460317,TRUE
"Zotu585",0.000276151880854092,3,NA,0.0238095238095238,0.0238095238095238,TRUE
"Zotu6197",1.74083777104273e-05,2,NA,0.0158730158730159,0.0158730158730159,TRUE
"Zotu5883",2.04953344529671e-05,3,NA,0.0238095238095238,0.0238095238095238,TRUE
"Zotu3536",2.64252790353488e-05,7,NA,0.0555555555555555,0.0555555555555555,TRUE
"Zotu2487",5.96625943212071e-05,7,NA,0.0555555555555555,0.0555555555555555,TRUE
"Zotu2643",2.41426830806813e-05,4,NA,0.0317460317460317,0.0317460317460317,TRUE
"Zotu5508",1.28672738006584e-05,5,NA,0.0396825396825397,0.0396825396825397,TRUE
"Zotu4384",1.29398077255904e-05,4,NA,0.0317460317460317,0.0317460317460317,TRUE
"Zotu2989",3.42397591714065e-05,5,NA,0.0396825396825397,0.0396825396825397,TRUE
"Zotu6170",1.04510960548028e-05,3,NA,0.0238095238095238,0.0238095238095238,TRUE
