"","MESQUITE.FLATS.SAND.MF.4B","MESQUITE.FLATS.SAND.MF.5B","MESQUITE.FLATS.SAND.MF.6B","MESQUITE.FLATS.SAND.MF.7B","MESQUITE.FLATS.SAND.MF.8B","MESQUITE.FLATS.SAND.MF.11A","MESQUITE.FLATS.SAND.MF.12A","MESQUITE.FLATS.SAND.MF.13A","MESQUITE.FLATS.SAND.MF.14B","MESQUITE.FLATS.SAND.MF.15A","MESQUITE.FLATS.SAND.MF.16A","MESQUITE.FLATS.SAND.MF.17A","MESQUITE.FLATS.SAND.MF.18B","MESQUITE.FLATS.SAND.MF.19A","MESQUITE.FLATS.SAND.MF.20A","MESQUITE.FLATS.SAND.MF.27B","MESQUITE.FLATS.SAND.MF.28A","MESQUITE.FLATS.SAND.MF.30A","MESQUITE.FLATS.SAND.MF.31B","MESQUITE.FLATS.SAND.MF.33A","EUREKA.SAND.ED.01A","EUREKA.SAND.ED.02B","EUREKA.SAND.ED.03A","EUREKA.SAND.ED.04A","EUREKA.SAND.ED.05A","EUREKA.SAND.ED.06A","EUREKA.SAND.ED.08A","EUREKA.SAND.ED.09A","EUREKA.SAND.ED.10A","EUREKA.SAND.ED.11A","EUREKA.SAND.ED.12A","EUREKA.SAND.ED.13A","EUREKA.SAND.ED.14B","EUREKA.SAND.ED.15B","EUREKA.SAND.ED.16A","EUREKA.SAND.ED.17B","EUREKA.SAND.ED.18A","EUREKA.SAND.ED.19A","EUREKA.SAND.ED.20A","EUREKA.SAND.ED.21A","EUREKA.SAND.ED.22A","EUREKA.SAND.ED.23A","EUREKA.SAND.ED.24A","EUREKA.SAND.ED.33A","IBEX.SAND.IX.1B","IBEX.SAND.IX.2A","IBEX.SAND.IX.3A","IBEX.SAND.IX.4B","IBEX.SAND.IX.5A","IBEX.SAND.IX.6A","IBEX.SAND.IX.7A","IBEX.SAND.IX.8A","IBEX.SAND.IX.9A","IBEX.SAND.IX.10A","IBEX.SAND.IX.10CM.A","IBEX.SAND.IX.2OCM.B","IBEX.SAND.IX.3OCM.A","IBEX.SAND.IX.40CM.A","IBEX.SAND.IX.50CM.A","IBEX.SAND.IX.60CM.A","IBEX.SAND.IX.70CM.A","IBEX.SAND.IX.80CM.A"
"Zotu446",526,5,6,139,1,1,3,5,1,0,2,3,8,1,10,2,5,1,4,1,6,0,5,0,4,3,6,1,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu151",1077,4,9,3,10,4,12,5,3,3,6,2,1,52,3,7,0,1,1,3,4,3,4,4,230,4,11,3,2,3,1,1,0,0,214,2,1,2,1,4,1,80,1,1,131,4,1,0,3,0,0,1,4,2,2,0,1,1,3,3,1,6
"Zotu162",354,18,15,28,23,93,248,17,10,294,9,30,11,15,33,369,78,63,9,307,33,6,7,9,10,13,17,14,19,20,13,1,3,2,4,2,1,2,5,2,3,1,18,97,0,2,4,0,1,0,0,42,5,50,4,2,0,0,4,5,3,33
"Zotu8",624,218,179,23,38,38,111,288,98,67,40,150,19,204,104,132,99,93,18,463,551,237,29,132,552,117,230,167,217,515,403,91,216,473,442,273,467,351,64,405,397,462,300,36,717,11,54,37,26,25,233,294,124,240,25,16,10,14,24,21,29,361
"Zotu1023",267,1,0,0,0,1,0,1,2,0,1,2,1,1,1,1,0,1,0,2,1,1,0,0,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu156",6,138,36,4,1,5,78,132,37,92,58,12,2,63,15,5,3,1,5,6,9,4,10,1,284,39,3,107,6,9,5,3,5,7,3,4,74,39,69,31,3,3,1,5,103,4,4,101,56,9,86,31,49,17,2,0,2,6,3,3,13,68
"Zotu1427",160,0,12,0,2,2,1,1,0,0,1,3,0,0,0,3,1,3,0,1,1,0,1,1,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu2021",4,0,0,0,0,0,1,1,14,0,0,50,1,45,24,0,22,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Zotu3",1415,183,185,59,69,190,188,187,140,148,266,543,2424,148,77,56,67,550,58,696,134,637,1209,886,1522,494,796,475,308,278,1005,2245,1196,686,1263,2471,237,292,398,579,3178,243,1083,50,927,1155,811,530,747,693,558,80,191,451,95,96,196,1122,247,90,160,159
"Zotu358",353,1,3,12,1,1,0,0,1,0,1,0,3,2,0,0,2,0,1,565,0,3,5,1,1,1,6,1,1,0,0,1,0,1,0,0,0,0,1,3,0,0,0,59,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
